Organism Name	baseMean	controlMean	experimentalMean	log2FoldChange	pvalue	padj
Prevotella dentalis	28.3950709562531	28.2118591528528	28.6240857105035	0.0550853263640462	0.792326754134837	0.933740366539898
Prevotella ruminicola	21.1147643243997	21.7936576708578	20.2661476413271	-0.0734966060530916	0.765922489774638	0.921879557828297
Prevotella melaninogenica	14.4320125516841	13.416618559428	15.7012550420042	0.124603939697061	0.666337483532373	0.860416362231123
Prevotella intermedia	13.3989189568468	15.606014168882	10.6400499418028	-0.374871974296091	0.476650650364663	0.737145773238374
Prevotella sp.	12.3368363316763	12.0665562959869	12.6746863762881	0.00194759977248504	0.995092122738123	0.998733585698159
Prevotella denticola	11.4149503206849	9.90678950254418	13.3001513433608	0.306828227589751	0.349740906593182	0.604097929570042
Megasphaera elsdenii	10.4782050164726	10.3108126455098	10.6874454801761	0.102392625808336	0.793328281345928	0.933740366539898
Eubacterium rectale	5.46659671770113	3.80622754700238	7.54205818107457	0.918972981223135	0.0606436218908706	0.601754418383085
Bacteroides salanitronis	4.90877797279861	5.95460529354036	3.60149382187141	-0.570714352581037	0.257333770556981	0.601754418383085
Bacteroides vulgatus	4.50226734827931	5.09939140556737	3.75586227666924	-0.302221872651898	0.551579739490977	0.780426652684041
Parabacteroides distasonis	4.45611048931119	5.6379374870965	2.97882674207955	-0.578095320509538	0.293946018870212	0.601754418383085
Oscillibacter valericigenes	4.36177497322153	3.56277506237637	5.36052486177798	0.520164681263415	0.344590297250729	0.601754418383085
Faecalibacterium prausnitzii	3.4626740720491	3.19020707765429	3.80325781504261	0.0280855571510841	0.962460478046823	0.973439114678536
Bacteroides xylanisolvens	3.07762859474419	3.45421510771879	2.60689545352593	-0.305855853325102	0.616345900611742	0.823859344536298
Bacteroides fragilis	2.94571191844744	3.27779941312483	2.53060255010072	-0.354921530820009	0.574504664850201	0.804306530790281
Barnesiella viscericola	2.92584565993205	2.22761351799861	3.79863583734884	0.527903622387781	0.408135594605769	0.661976025397162
