Organism Name	baseMean	controlMean	experimentalMean	log2FoldChange	lfcSE	stat	pvalue	padj
OTHER	414.685737531003	332.275841507695	497.095633554312	0.580445942620762	1.03307894547664	0.561860199709094	0.574211272522048	0.924603183253447
hypothetical protein	33.1204017353136	36.6666745426937	29.5741289279335	-0.301594765636434	0.927351259640996	-0.325221713456442	0.74501327620244	0.924603183253447
TonB-dependent receptor	9.63002035831679	10.1826346782734	9.07740603836016	-0.161010977067183	1.29012242224319	-0.124802866992442	0.900679617609096	0.982289797128865
type I glyceraldehyde-3-phosphate dehydrogenase	6.31273951888778	5.28365519270707	7.34182384506849	0.484561592936134	1.58825031347371	0.305091451155666	0.760296502005453	0.924603183253447
elongation factor Tu	5.17553747316485	4.98336212068996	5.36771282563975	0.120163435772102	1.63799335748086	0.0733601483933407	0.941519529086231	0.986487607935334
DNA-directed RNA polymerase subunit beta	4.38826144520265	7.06679489057108	1.70972799983423	-1.92468016450788	1.96445364919237	-0.979753411488812	0.32720785413231	0.924603183253447
RagB/SusD family nutrient uptake outer membrane protein	4.35128620138173	4.94117080312816	3.7614015996353	-0.341138793559762	1.96994040981163	-0.173172138538131	0.862516122978445	0.964000526674118
pyruvate, phosphate dikinase	3.87968770873215	5.39161041115382	2.36776500631047	-1.13604692395626	1.87930562453613	-0.604503551271321	0.54550890887895	0.924603183253447
SusC/RagA family TonB-linked outer membrane protein	3.62131655947081	4.53292251266429	2.70971060627732	-0.705044897197348	1.92580818651954	-0.366103385650031	0.714287931255991	0.924603183253447
elongation factor G	3.3421191462346	3.97452768619188	2.70971060627732	-0.523474625924405	1.99957378762257	-0.261793102692549	0.79348095692628	0.924796467403517
phosphoenolpyruvate carboxykinase (ATP)	3.17931490830335	4.01671900375368	2.34191081285303	-0.778805995977465	2.01290662592039	-0.386906171378595	0.698825672203495	0.924603183253447
pyruvate:ferredoxin (flavodoxin) oxidoreductase	2.93387085577073	3.15803110526415	2.70971060627732	-0.191434212026899	2.08995124848224	-0.0915974533692698	0.927017874862404	0.982537671779669
MULTISPECIES: hypothetical protein	2.73704386232987	3.15803110526415	2.31605661939558	-0.518451829073885	2.18876799393903	-0.23686924813847	0.812758227568265	0.941735674350484
biopolymer transporter ExbD	2.65781407510413	2.34153452433642	2.97409362587183	0.290073378417251	2.22351821785265	0.130456938058006	0.896204921372678	0.980087905062101
glucosamine-6-phosphate deaminase	2.46287437857623	2.89992935080884	2.02581940634363	-0.48150288567009	2.22856590238933	-0.216059522921828	0.82894135052334	0.94450804483038
polyribonucleotide nucleotidyltransferase	2.37131951007685	1.37489140740014	3.36774761275356	1.29428134812638	2.29653349345617	0.563580436259414	0.573039704202134	0.924603183253447
protein translocase subunit SecDF	2.34172266859473	2.34153452433642	2.34191081285303	-0.0114245611614714	2.25611158614325	-0.00506382806224638	0.995959667037856	0.995959667037856
translation initiation factor IF-2	2.10425903385598	3.86657246774512	0.341945599966845	-3.12239443602453	2.71611102138919	-1.14958277163043	0.250315757409853	0.924603183253447
30S ribosomal protein S1	2.00480499811046	2.64182759635353	1.36778239986738	-0.847103082883361	2.6701254481578	-0.317252166360873	0.751052269668086	0.924603183253447
triose-phosphate isomerase	1.89597836940259	2.79197413236209	0.999982606443091	-1.49439320073637	2.83057679036167	-0.52794653224915	0.597536446797716	0.924603183253447
phosphoglycerate kinase	1.86698354337554	3.0500758868174	0.68389119993369	-2.00892914583537	2.76448637791099	-0.726691642211469	0.46741487448665	0.924603183253447
beta-galactosidase	1.81647918737082	1.63299316185545	1.99996521288618	0.236908455374097	2.74270551391019	0.0863776494313978	0.931166213684699	0.982537671779669
fructose-bisphosphate aldolase	1.80068085287853	2.23357930588967	1.36778239986738	-0.64864990623436	3.81899801607661	-0.169848191463776	0.865129526196081	0.964167923134353
hybrid sensor histidine kinase/response regulator	1.75875893012276	2.49168106034498	1.02583679990054	-1.17046885349649	2.77131849716405	-0.422350897125052	0.672768912919836	0.924603183253447
ABC transporter substrate-binding protein	1.71702515162529	0.408248290463863	3.02580201278672	2.72048651781514	2.93177369494258	0.927931962316219	0.353442863511947	0.924603183253447
DNA-directed RNA polymerase subunit beta'	1.69245623962574	1.67518447941725	1.70972799983423	0.0859822962836573	3.78101902091357	0.0227405087909032	0.981857262838928	0.990601883141155
50S ribosomal protein L2	1.66285939814361	2.64182759635353	0.68389119993369	-1.80701533002636	2.92183561558825	-0.618452085526568	0.536277372939141	0.924603183253447
rubrerythrin family protein	1.66285939814361	2.64182759635353	0.68389119993369	-1.80701533002636	2.92183561558825	-0.618452085526568	0.536277372939141	0.924603183253447
membrane protein	1.49188659816019	2.64182759635353	0.341945599966845	-2.56844403040368	3.10633582446631	-0.826840424069393	0.408327514446027	0.924603183253447
