Organism Name	baseMean	controlMean	experimentalMean	log2FoldChange	lfcSE	stat	pvalue	padj
OTHER	481.17859351112	259.978825611461	702.378361410779	1.43152918032144	0.849997161754814	1.68415760043958	0.0921512149334293	0.976722718894254
Prevotella copri	94.528648567523	101.707130416717	87.3501667183286	-0.207174243521514	0.821279180431779	-0.252258000029411	0.800841649649464	0.976722718894254
Prevotella stercorea	28.5486401131148	24.4918146233707	32.605465602859	0.42667884877604	0.943782736926544	0.452094356128543	0.651201009374091	0.976722718894254
Prevotellamassilia timonensis	12.1839451782629	10.1243085467639	14.243581809762	0.509050165232124	1.25049427272402	0.407079165683208	0.683949844877439	0.976722718894254
Megasphaera elsdenii	9.46026070897918	10.5595512070621	8.36097021089628	-0.323750747129705	1.33103755370714	-0.243231865418081	0.807825782917506	0.976722718894254
Prevotella	9.44112599847431	8.04292317402176	10.8393288229269	0.405057691582608	1.31827013131366	0.30726455979016	0.758642008907969	0.976722718894254
Faecalibacterium prausnitzii	6.45452079675241	5.24367682403465	7.66536476947017	0.595898488482893	1.54678121166958	0.385250663757214	0.700051710359756	0.976722718894254
Prevotella bryantii	4.57787119685113	3.95029268118882	5.20544971251344	0.426245777095674	1.72648767311005	0.246886081919048	0.804996387994428	0.976722718894254
Prevotella albensis	3.93274328936953	5.67274756530846	2.1927390134306	-1.35442600367495	1.91193622055855	-0.708405431682899	0.478693520330731	0.976722718894254
Prevotella ruminicola	3.58900536928222	4.02249024018161	3.15552049838284	-0.3758197722078	1.92387077217453	-0.195345642567777	0.84512236766885	0.976722718894254
Prevotella multisaccharivorax	3.08208694970429	4.38142072880409	1.78275317060448	-1.30990017577909	2.09703776041058	-0.624643103957569	0.532205322920928	0.976722718894254
sp. AGR2160	2.99257599272015	1.86685000210523	4.11830198333508	1.08947941195567	2.11305649600276	0.515594076171947	0.606137948558231	0.976722718894254
Prevotella baroniae	2.78478291768001	3.37682682192942	2.1927390134306	-0.595021817782663	2.23035157571495	-0.266783866840333	0.789635576593354	0.976722718894254
sp. oral	2.7731831621147	2.94364146797269	2.60272485625672	-0.157357082690899	2.19779281839786	-0.0715977781771114	0.942922008297068	0.976722718894254
bacterium HUN156	2.73732037644625	2.72910609733578	2.74553465555672	-0.0450087248856353	2.14910844645175	-0.0209429751951076	0.983291144883646	0.989452499092364
sp. KHD1	2.66591547679625	2.72910609733578	2.60272485625672	-0.0368378266302252	2.16386006812393	-0.0170241260850863	0.98641736872705	0.989452499092364
Roseburia faecis	2.51895619901153	3.8079548695447	1.22995752847836	-1.46308226937199	2.51454225243473	-0.581848353494696	0.560668830940777	0.976722718894254
Clostridiales	2.45035145298861	2.2979780497205	2.60272485625672	0.205506643707559	2.24582476946469	0.0915060901018308	0.92709046733936	0.976722718894254
sp. HMSC073D09	2.38896099021834	2.44237316770608	2.3355488127306	-0.144966737412104	2.32991667274964	-0.0622197090168989	0.950387867371307	0.976722718894254
Prevotella bergensis	2.23502342300891	1.7245121904611	2.74553465555672	0.652592475574923	2.57895701144004	0.253045115789087	0.800233350036094	0.976722718894254
Dialister succinatiphilus	2.22062351381653	2.80130365632857	1.63994337130448	-0.640034973855882	2.51113871228623	-0.254878382752967	0.798817033046819	0.976722718894254
Bacteroides	2.19892464351252	1.65231463146832	2.74553465555672	0.701672488500056	2.39350801159858	0.293156523855302	0.769402513796993	0.976722718894254
sp. An277	2.03362331456572	0.358930488622487	3.70831614050895	3.22548975642694	2.83590045178926	1.137377637636	0.255380451552687	0.976722718894254
Prevotella oralis	1.91116306071209	1.07679146586746	2.74553465555672	1.28967343185504	2.72262991271438	0.473686646074226	0.635723377454197	0.976722718894254
Megasphaera	1.83537268874943	2.2979780497205	1.37276732777836	-0.816761687258763	2.59443112471472	-0.314813401472962	0.752903335839023	0.976722718894254
Eubacterium rectale	1.81502314330307	1.58011707247553	2.04992921413061	0.473573539162522	2.73047702430138	0.173439854995187	0.86230570002177	0.976722718894254
Prevotella shahii	1.79332427299906	0.431128047615276	3.15552049838284	2.93014392719429	2.92863504062985	1.00051521836743	0.317061236570726	0.976722718894254
Prevotella buccae	1.77892436380667	1.50791951348274	2.04992921413061	0.528776029263915	2.77532822960877	0.190527384697289	0.848895886307071	0.976722718894254
Roseburia inulinivorans	1.75363268053279	1.7245121904611	1.78275317060448	0.0554056453382544	2.84554999445665	0.0194709794051023	0.984465387733039	0.989452499092364
Prevotella timonensis	1.65590744443819	1.93904756109801	1.37276732777836	-0.565634586754741	2.6907852006154	-0.210211720588242	0.833502432230038	0.976722718894254
Prevotella paludivivens	1.64533634204361	1.50791951348274	1.78275317060448	0.222593970450899	2.67347991600046	0.0832600122105654	0.933644795485676	0.976722718894254
Prevotella intermedia	1.63555789899182	1.22118658385304	2.04992921413061	0.844991137888373	2.88308060089604	0.293086200096437	0.769456264582791	0.976722718894254
Ruminococcus callidus	1.6236374717396	0.358930488622487	2.88834445485671	2.84538934950249	3.34107447055461	0.851639008522359	0.394414481913108	0.976722718894254
sp. ER4	1.6236374717396	0.358930488622487	2.88834445485671	2.84538934950249	3.34107447055461	0.851639008522359	0.394414481913108	0.976722718894254
Prevotella salivae	1.61003022189001	1.58011707247553	1.63994337130448	0.161746779113978	2.86135066971904	0.0565281217802851	0.954921093395383	0.976722718894254
Prevotella maculosa	1.51254097962334	1.65231463146832	1.37276732777836	-0.317736024013406	2.81871836239492	-0.112723579713527	0.910249706487739	0.976722718894254
Prevotella oulorum	1.48701330252152	2.0112451200908	0.962781484952237	-1.35527290331837	3.07320232907192	-0.440996966095509	0.65921519339205	0.976722718894254
Blautia obeum	1.44417222742836	0	2.88834445485671	4.26944651226665	3.71502605350467	1.14923730029806	0.250458144110318	0.976722718894254
sp. P5-119	1.42977231823597	1.07679146586746	1.78275317060448	0.698197054158297	3.05488480212361	0.228551025450434	0.819217893023608	0.976722718894254
Prevotella enoeca	1.36893852098055	1.50791951348274	1.22995752847836	-0.182188694471233	3.08158558485059	-0.0591217376427552	0.952855144788462	0.976722718894254
Prevotella nigrescens	1.28640585342112	0.790058536237763	1.78275317060448	1.16815892610748	2.98609224921413	0.391199878843298	0.695649497853728	0.976722718894254
Prevotella brevis	1.2616708356621	1.29338414284583	1.22995752847836	0.0385400327915312	3.48688846118357	0.0110528435940992	0.991181286300541	0.991181286300541
Prevotella pleuritidis	1.25030707392473	0.717860977244974	1.78275317060448	1.27778607967674	3.23633954387664	0.394824480668104	0.692972426713957	0.976722718894254
sp. P5-125	1.25030707392473	0.717860977244974	1.78275317060448	1.27778607967674	3.23633954387664	0.394824480668104	0.692972426713957	0.976722718894254
Porphyromonas macacae	1.1677744063653	0	2.3355488127306	3.97229849676206	3.66443657179126	1.08401344079489	0.278358839451911	0.976722718894254
