Row.names	baseMean	controlMean	experimentalMean	log2FoldChange	lfcSE	stat	pvalue	padj
NO HIERARCHY	136.167703525568	93.2740388865924	179.061368164543	0.0912480921280674	0.22070381354608	0.413441393068706	0.679283252927375	0.942754457409615
Protein Metabolism	36.0127935316256	38.3533618824917	33.6722251807596	-0.0396736374222258	0.300850962696551	-0.13187139926902	0.895086011106715	0.942754457409615
Carbohydrates	28.2121628233569	30.9182956066511	25.5060300400627	-0.0802619271778489	0.333195897712274	-0.240885100113561	0.809644170547025	0.942754457409615
Cofactors, Vitamins, Prosthetic Groups, Pigments	12.3627794808974	8.98669113656806	15.7388678252268	0.491247546424131	0.362936322044265	1.35353646517699	0.17588430871705	0.942754457409615
Membrane Transport	10.4709061259235	10.7789683995663	10.1628438522806	-0.0498661428058797	0.365980049063648	-0.136253719112452	0.891620709386309	0.942754457409615
Clustering-based subsystems	9.95517911269204	10.4939775744023	9.41638065098176	-0.0812456873167084	0.366569816479447	-0.221637689914013	0.824595939795527	0.942754457409615
RNA Metabolism	7.07174633311526	9.55667278689604	4.58681987933447	-0.416014091317809	0.366838649258167	-1.13405196578683	0.256772750693889	0.942754457409615
Cell Wall and Capsule	6.79296578064279	4.71817329288033	8.86775826840525	0.419562354646632	0.367428374241784	1.14188882530488	0.253500234150502	0.942754457409615
Nucleosides and Nucleotides	5.04071738058516	3.25522527793929	6.82620948323103	0.315481203147562	0.340206637845414	0.927322303719754	0.353759217473689	0.942754457409615
Respiration	5.03049935716143	6.0228012175649	4.03819749675795	-0.161310343107058	0.333275864958102	-0.484014475897731	0.628375595678622	0.942754457409615
Amino Acids and Derivatives	4.74309968478376	5.25016105408723	4.23603831548029	-0.106329369261619	0.340184913570243	-0.312563447172573	0.754612352492186	0.942754457409615
Stress Response	3.18551983656239	3.78086850537405	2.59017116775074	-0.1247658000354	0.324186706186754	-0.384857853990862	0.700342732890769	0.942754457409615
Sulfur Metabolism	2.15005805936734	1.70994495098395	2.59017116775074	0.0810436262154822	0.277952403740249	0.291573755524053	0.770612543959169	0.942754457409615
DNA Metabolism	1.21752444226567	1.13996330065597	1.29508558387537	0.00500538674053006	0.23738530808076	0.0210854950586377	0.983177455590282	0.983177455590282
Fatty Acids, Lipids, and Isoprenoids	1.12928366678023	1.70994495098395	0.548622382576517	-0.151732476160778	0.224974415026462	-0.674443252326852	0.500029552330444	0.942754457409615
Cell Division and Cell Cycle	0.833613207740509	0.569981650327983	1.09724476515303	0.0714491857339726	0.197583813476537	0.361614569922536	0.717640075286604	0.942754457409615
Regulation and Cell signaling	0.416806603870254	0.284990825163991	0.548622382576517	0.0303286379276546	0.130362277021225	0.232648881414649	0.816034066709228	0.942754457409615
Virulence, Disease and Defense	0.416806603870254	0.284990825163991	0.548622382576517	0.0303286379276546	0.130362277021225	0.232648881414649	0.816034066709228	0.942754457409615
Miscellaneous	0.142495412581996	0.284990825163991	0	-0.0136792295127019	0.106566425454746	-0.128363407652356	0.897861388009157	0.942754457409615
Motility and Chemotaxis	0.142495412581996	0.284990825163991	0	-0.0136792295127019	0.106566425454746	-0.128363407652356	0.897861388009157	0.942754457409615
Phosphorus Metabolism	0.142495412581996	0.284990825163991	0	-0.0136792295127019	0.106566425454746	-0.128363407652356	0.897861388009157	0.942754457409615
